0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
Navn;FoodId;Svind;Energi, kJ;Energi, kcal;Proteinomregningsfaktor(NCF);total-N;Protein, total;Protein, deklaration;Kulhydrat best. v/diff.;Kulhydrat, tilgængelig;kulhydrat, deklaration;Tilsat sukker;Kostfibre;Fedt, total;Fedtsyrekonverteringsfaktor (FCF);Alkohol;Aske;Tørstof;Vand;A-vitamin;Retinol;ß-caroten;D-vitamin;D3 cholecalciferol;25-hydroxycholecalciferol;E-vitamin;alfa-tokoferol;gamma-tokoferol;delta-tokoferol;alfa-tokotrienol;K1-vitamin;B1-vitamin;thiamin;HET, hydroxyethylthiazole;B2-vitamin, riboflavin;Niacin;niacin2;B6-vitamin;Pantothensyre;Biotin;Folat;Frit folat;B12-vitamin;C-vitamin;L-ascorbinsyre;L-dehydroascorbinsyre;Chlorid, Cl;Natrium, Na;Kalium, K;Calcium, Ca;Magnesium, Mg;Phosphor, P;Jern, Fe;Kobber, Cu;Zink, Zn;Jod, I;Mangan, Mn;Chrom, Cr;Selen, Se;Molybdæn, Mo;Cobolt, Co;Nikkel, Ni;Kviksølv, Hg;Arsen, As;Cadmium, Cd;Bly, Pb;Tin, Sn;L-mælkesyre;D-mælkesyre;Mælkesyre, total;Citronsyre;Oxalsyre;Æblesyre;Eddikesyre;Benzoesyre;Organiske syrer, tot.;Histamin;Tyramin;Phenylethylamin;Putrescin;Cadaverin;Spermin;Spermidin;Serotonin;Fructose;Galaktose;Glucose;Monosaccharider, total;Lactose;Maltose;Saccharose;Disaccharider, total;Raffinose;Andre sukkerarter;Sukkerarter, ialt;Sorbitol;Mannitol;Inositol;Maltitol;Sukkeralkoholer, total;Stivelse;(a)Hexoses;(b)Pentoses;(c)UronicAcids;Cellulose;Lignin;Crude fibre;Neutr.Det.Fibre (NDF);C4:0;C6:0;C8:0;C10:0;C12:0;C14:0;C15:0;C16:0;C17:0;C18:0;C20:0;C22:0;C24:0;Andre mætt.;C14:1,n-5;C15:1;C16:1,n-7;C16:1,trans;C17:1,n-7;C18:1,n-9;C18:1,n-7;C18:1,trans n-9;C20:1,n-9;C20:1,n-11;C20:1,trans;C22:1,n-9;C22:1,n-11;C22:1,trans;C24:1,n-9;Andre monoumætt.;C18:2,n-6;C18:2,conj-A, udifferentieret;C18:2,trans, udifferentieret;C18:3,n-3;C18:3,n-6;C18:4,n-3;C20:2,n-6;C20:4,n-3;C20:3,n-3;C20:3,n-6;C20:4,n-6;C20:5,n-3;C22:5,n-3;C22:6,n-3;Andre polyumættede;Andre fedtsyrer;Sum mættede;Sum monoumættede;Sum polyumættede;Fedtsyrer, total;Sum n-3 fedtsyrer;Sum n-6 fedtsyrer;Transfedtsyrer, total;Cholesterol;Isoleucin;Leucin;Lysin;Methionin;Cystin;Phenylalanin;Tyrosin;Threonin;Tryptofan;Valin;Arginin;Histidin;Alanin;Asparaginsyre;Glutaminsyre;Glycin;Prolin;Serin
Gulerod, uspec., rå;264;19;149;36;6,25;0,11;0,7;0,7;8,7;5,8;5,8;0;2,9;0,4;0,8;0;0,7;10,5;89,5;816;0;9790;0;0;;0,55;0,55;;;;13,2;0,04;;;0,033;1,1;1;0,119;0,28;3,4;63;15;0;7,01;5,01;2;;66;286;24,6;9,6;33,1;0,24;0,036;0,19;3;0,36;0,8;0,1;0;;4,55;0,16;0,18;1,74;1,4;;;;;;;;;0,03;;0,01;;;;;;;0,003;1,9;;2,56;4,46;;0;1,64;1,64;;;6,1;;;;;;0;0,64;0,32;0,71;0,95;0,06;;;;;;;;;;0,073;;0,006;;;;;;;;;;0,006;;;;;;;;;;;0,206;;;0,029;;;;;;;0;;;;;;0,079;0,006;0,235;0,32;0,029;0,206;0;0;20;26;24;6;1;18;9;18;6;30;22;8;53;97;127;19;17;15
Gær, tørret;265;0;1327;317;6,25;5,696;35,6;35,6;49,6;29,9;29,9;0;19,7;1,5;0,8;0;8,3;95;5;0;0;0;0;0;;0;0;;;;0;2,33;;;4;43,4;36;2;11;200;4000;130;0;0;0;;;52;2000;44;230;1290;16,1;5;8;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1823;2449;2734;501;125;1367;1196;1823;444;2278;1880;740;2164;3532;4728;1766;1196;20
Gærekstrakt, marmite;266;0;646;154;6,25;4,448;27,8;27,8;11,8;8,8;8,8;0;3;0;0,9;0;23,4;63;37;0;0;0;0;0;;0;0;;;;0;9,7;;;14,3;103;97;1,3;;;1010;83;0,5;0;0;;6600;3600;2600;86;180;104;3,7;0,3;2,1;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;1,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1290;1601;1913;356;267;1068;489;1379;356;1646;712;623;1824;2580;3469;1379;1334;
Gås, kød og skind, rå;267;19;1513;361;6,25;2,538;15,8;15,8;0;0;0;0;0;33,6;0,931;0;0,9;50,3;49,7;30;30;0;1;1;;0;0;;;;0;0,125;;;0,35;11,5;8;0,58;1,29;;11;;0,34;4,2;4,2;;;69;315;12;24;234;2,5;0,136;1,35;1,2;0,02;;24;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;0;0;0;0;;0;0;;;;;;0;0;0;0;0;0;0;;0;0;0;0;0,03;0,17;;6,95;;2,33;;;;;;;0,98;;;16,7;;;;0,04;;0;;;;;3,35;;;0,21;;0;;;;;0;0;0;0;;;9,48;17,72;3,56;30,76;0,21;3,35;0;80;736;1320;1244;381;246;660;508;711;208;787;990;431;990;1421;2360;1015;761;
Gås, kød, rå;268;53;663;158;6,25;3,64;22,8;22,8;0,7;0,7;0,7;0;0;7,1;0,777;0;1,1;31,7;68,3;30;30;0;1;1;;0;0;;;;0;0,129;;;0,377;9,56;4,28;0,64;1,97;;11;;0,49;7,2;7,2;;;69;315;13;24;312;2,57;0,306;2,34;;0,024;;24;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;0;0;0;0;;0;0;;;;;;0;0;0;0;0;0;0;;;;;0;0,03;0,03;;1,47;;0,92;;;;;;;0,27;;;1,58;;;;0;;0;;;;;0,798;;;0,1;;;;;;;0;0;0;0;;;2,45;1,85;0,898;5,198;0,1;0,798;0;84;1165;1929;1929;619;349;946;874;983;317;1201;1456;619;1456;2220;3567;1274;1128;643
Gåsefedt;269;0;3693;883;6,25;0;0;0;0;0;0;0;0;99,8;0,956;0;0;99,8;0,2;144;144;;;;;2,7;2,7;;;;;0;;;0;0;0;0;0;;0;;0;0;0;;;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;0;0;0;0,507;;21,004;;6,189;;;;;;;2,841;;;54,284;;;;0,101;;0;;;;;9,974;;;0,507;;0;;;;;0;0;0;0;;;27,7;57,226;10,481;95,407;0,507;9,974;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Hajmalle, rå, dybfrost;270;;294;70;6,25;2,336;14,6;14,6;0;0;0;;0;1,3;0,7;0;1,1;16,9;83,1;0;0;;0,051;0,051;0;0,296;0,296;;;;;0;;;0,037;1,75;1,75;0,155;2,3;8,3;;;0,5;1,34;1,34;;;181;261;6,3;19,9;157;0,075;0,014;0,255;0,98;0,008;0,3;10,6;;;0,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0,002;0,042;0;0,325;;0,099;0;0,009;0;;;;0,012;;;0,402;0,013;;0,014;;;0;0;;0;;0,111;;;0,004;;0;0,008;0;;0,016;0,026;0,001;0,004;0,026;;0,022;0,477;0,441;0,196;1,136;0,035;0,145;0;37;;;;;;;;;;;;;;;;;;609
Hamburgerryg, kogt;271;12;508;121;6,25;2,944;18,4;18,4;0,8;0,8;0,8;1,1;0;4,9;0,895;0;4,4;28,5;71,5;0;0;0;0,44;0;0,088;0,14;0,14;;;;;0,87;;;0,109;8,88;5,6;0,33;0,6;2,5;1,5;;0,43;40;40;;1780;1540;317;5,13;21,5;301;0,52;0,05;1,39;1,4;0,011;30;10,4;0;;1,3;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;0;0;0;0;;;0;;;;;;0;0;0;0;0;0;;;;;;0;0;0,064;;1,1;;0,64;0;0;0;;0;;0,112;;;1,9;;0;;0,037;;;;;;;0,46;;;0,04;;;;;;;0,033;;;0;;0;1,804;2,049;0,533;4,386;0,04;0,493;0;47;883;1354;1649;471;124;677;618;765;197;972;1089;677;1089;1649;2502;913;707;25
Hamburgerryg, røget;272;15;513;123;6,25;2,944;18,4;18,4;1,1;1,1;1,1;1,1;0;4,9;0,915;0;4,1;28,5;71,5;0;0;0;0,522;0,082;0,088;0,1;0,1;;;;;0,832;;;0,14;7,18;3,9;0,37;0,708;2;3,92;;0,65;0;0;;;1540;317;4,9;26;241;0,55;0,05;1,39;1,1;0,01;5,3;10,8;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;0;0;0;0;;;0;;;;;;0;0;0;0;0;0;;;;;;0;0;0,065;;1,124;;0,654;0;0;0;;0;;0,114;;;1,942;;0;;0,038;;;;;;;0,47;;;0,041;;;;;;;0,034;;;0;;0;1,843;2,094;0,545;4,482;0,041;0,504;0;55;883;1354;1649;471;124;677;618;765;197;972;1089;677;1089;1649;2502;913;707;20
Hare, rå;273;21;475;114;6,25;3,456;21,6;21,6;1,8;1,8;1,8;0;0;2,1;0,92;0;1,2;26,7;73,3;0;0;0;0;0;;0,1;0,1;;;;0;0,09;;;0,06;8,07;8,07;0,3;0,8;0,1;10;4;1;0;0;;;77;318;9,1;26;210;0,8;0,24;1,7;0,55;0,038;2;10;10;;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;;;0;0;0;0;0;0,038;;0,423;0,034;0,184;0,005;0,017;0;;0,005;;0,039;;;0,207;0;;;0;;0;0;;0;;0,384;;;0,352;;0;0;;0,097;0,012;;0,043;0,067;0,015;;0;0,701;0,251;0,97;1,922;0,477;0,384;0;60;;;;;;;;;0;;;;;;;;;921
Hasselnød, tørret;274;54;2603;622;5,3;2,508;13,3;15,7;25,8;17,6;15,2;0;8,2;54,4;0,95;0;2,4;95,9;4,1;1,33;0;16;0;0;;21;21;;;;;0,39;;;0,2;3,97;1,2;0,54;1,15;2;72;23;0;6,3;6,3;;;1,9;738;136;158;349;2,8;1,4;2;0,4;7,2;0,4;2,1;0;;170;0,1;0;1,7;13;;;;;;;;;;;;;;;;;;0,21;;;;;;;;;;;4,7;;;;;;1,9;;;;;;3,8;;0;0;0;0;0;0;;2,658;0;1,111;0,062;0;0;;0;;0,093;;;41,944;0;;;0,101;;0;0;;0;;5,636;;;0,064;;0;0;;0;0;;0;0;0;;0;3,831;42,138;5,7;51,669;0,064;5,636;0;0;652;1104;477;213;203;702;426;502;166;828;2207;401;752;1580;3662;752;602;219
Havarti, 30+;275;0;1220;292;6,38;4,718;30,1;29,5;1,4;1,4;2;0;0;18,5;0,945;0;4,4;54,4;45,6;164;157;81;0,2;0,2;;0,47;0,47;;;;0;0,055;;;0,325;7,02;0,1;0,09;0,34;1,5;60;1;1,38;0,5;0,5;;;689;71,5;788;32,4;590;0,21;0,086;5;13,8;0,059;0,25;10;6;1;1,36;0,06;1;0,01;0,45;;;;;;;;;;;3,5;;;;;;;0;;;;;0,05;;;0,05;;;0,05;;;;;;0;;;;;;;;0,63;0,4;0,26;0,58;0,72;2,05;;5,471;;1,87;;;;;0,26;;0,4;;;4,111;;;;0,21;;;;;;;0,38;;;0,14;;;;;;;;;;;;;11,981;4,981;0,52;17,482;0,14;0,38;0;61;1651;2784;2406;849;109;1557;1651;1038;415;2029;944;849;944;2123;5898;613;3161;
Havarti, 45+;276;0;1429;341;6,38;3,84;24,5;24;1,2;1,2;1,7;0;0;26,8;0,945;0;4,1;56,6;43,4;238;228;118;0,27;0,27;;0,68;0,68;;;;;0,05;;;0,33;5,73;0,1;0,09;0,34;1,5;60;1;1,38;0,5;0,5;;;755;67,1;607;26,9;530;0,16;0,086;4;10,4;0,059;0,25;8,5;6;;1,36;0,06;1;0,01;0,45;;;;;;;;;;;3,5;;;;;;;0;;;;;0,05;;;0,05;;;0,05;;;;;;0;;;;;;;;0,91;0,58;0,38;0,84;1,04;2,961;;7,932;;2,711;;;;;0,38;;0,58;;;5,951;;;;0,3;;;;;;;0,56;;;0,2;;;;;;;;;;;;;17,354;7,211;0,76;25,325;0,2;0,56;0;88;1344;2266;1958;691;88;1267;1344;845;338;1651;768;691;768;1728;4800;499;2573;360
Havarti, 60+;277;0;1770;423;6,38;3,056;19,5;19,1;1,7;1,7;2,1;0;0;38,1;0,945;0;3,5;62,8;37,2;338;324;168;0,36;0,36;;0,97;0,97;;;;0;0,05;;;0,33;4,58;0,1;0,09;0,34;1,5;60;1;1,38;0,5;0,5;;;676;54,5;498;21,6;400;0,18;0,086;3,3;10,4;0,059;0,25;6,5;6;;1,36;0,06;1;0,01;0,45;;;;;;;;;;;3,5;;;;;;;0;;;;;0,05;;;0,05;;;0,05;;;;;;0;;;;;;;;1,299;0,829;0,539;1,189;1,479;4,206;;11,289;;3,846;;;;;0,539;;0,829;;;8,452;;;;0,43;;;;;;;0,789;;;0,29;;;;;;;;;;;;;24,676;10,25;1,079;36,005;0,29;0,789;0;126;1070;1803;1559;550;70;1008;1070;672;269;1314;611;550;611;1375;3820;397;2048;697
Havkat, plettet, rå;278;59;450;107;6,25;2,56;16;16;0;0;0;0;0;4,8;0,9;0;1;21,8;78,2;18;18;0;1,3;1,3;;2,4;2,4;;;;0;0,18;;;0,045;5,27;2,5;0,35;0,57;;1;1;2,2;0;0;;;105;282;35;25;180;1;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;;0,065;;0,604;;0,23;0,059;;;;;;0,327;;;0,852;;;;0,214;;0,059;;;;0,016;0,065;;;0,027;;0,176;0,038;;0,027;;0,194;0,821;0,074;0,471;;;0,958;1,468;1,893;4,319;1,569;0,297;0;58;768;1254;1536;512;136;640;563;742;166;896;947;358;973;1587;2278;742;589;27
Havkat, rå;279;48;408;97;6,25;2,576;16,1;16,1;2;2;2;0;0;2,7;0,88;0;1,1;21,9;78,1;18;18;0;1,3;1,3;;2,4;2,4;;;;0;0,18;;;0,045;5,28;2,5;0,35;0,57;;1;1;2,2;0;0;;;105;282;35;25;180;1;;;60;;1;57,5;;;0;8,2;441;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;;0,036;;0,332;;0,126;0,032;;;;;;0,18;;;0,469;;;;0,118;;0,032;;;;0,009;0,036;;;0,015;;0,097;0,021;;0,015;;0,107;0,451;0,041;0,259;;;0,526;0,808;1,042;2,376;0,863;0,164;0;58;773;1262;1546;515;137;644;567;747;167;902;953;361;979;1597;2293;747;592;
Havredrik, kommercielt tilberedt;280;0;77;18;5,83;0,098;0,6;0,6;1,6;1,3;1,3;;0,2;1,2;0,94;0;4,2;7,5;92,5;0,227;0,227;;;;;0,417;0,417;;;;;0,032;;;0,008;;;16,3;;;;;;;;;49,7;40,5;30,9;46,4;14,8;14,4;0,165;0,019;0,295;2,25;0,043;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0,177;;1,12;1,29;0,89;0,827;0,293;2,01;;;3,3;;;;;;1,39;;;;;;;;;;0;0,025;;;;0,076;;0,026;0,004;0,006;0,002;;;;0,004;;;0,397;0,103;;;;;;;;;;0,402;;0,003;0,003;;;;;;;;;;;;;0,139;0,504;0,408;1,051;0,003;0,402;0;;;;;;;;;;;;;;;;;;;27
Havregryn, beriget;281;0;1526;365;5,83;2,227;13;13,9;68,6;57,4;56,4;0;11,2;6,5;0,94;0;2,3;90,3;9,7;0;0;0;0;0;;0,75;0,75;;;2,4;0;0,424;;;0,125;3,8;0,8;0,144;1,5;19;50;;0;0;0;;;4;400;329;119;622;3,77;0,2;2,89;0,5;5,8;2,5;1,1;10;;133;0,2;4,5;4,1;3,9;;;;;;;;;;;;;;;;;;;0;;0;0;0;0;1,03;1,03;0;0;1,03;;;;;;;;;;;;;;;;;;;;;1,033;;0,067;0,033;;;;;;0,017;;;2,341;;;;;;;;;;;2,478;;;0,134;;;;;;;;;;;;;1,133;2,358;2,612;6,103;0,134;2,478;0;0;557;1002;579;223;379;735;423;468;180;824;891;312;690;1158;2940;757;735;30
Havregryn, ikke beriget;282;0;1541;368;5,83;2,276;13,3;14,2;68,3;58;57;0;10,3;6,7;0,94;0;2,3;90,5;9,5;0;0;0;0;0;;0,75;0,75;;;2,4;0;0,387;;;0,128;3,87;0,8;0,132;1,5;19;47,2;;0;0;0;;;4;400;53;117;411;3,76;;3;0,5;5,8;2,5;1,1;10;;121;0,2;4,5;4,1;3,9;;;;;;;;;;;;;;;;;;;0;;0;0;0;0;1,03;1,03;;0;1,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;569;1024;592;228;387;751;432;478;184;842;910;319;706;1184;3004;774;751;
Havregryn, uspec.;283;0;1542;368;5,83;2,269;13,2;14,2;68,6;58,5;57,5;0;10,1;6,5;0,94;0;2,3;90,7;9,3;0;0;0;0;0;;0,75;0,75;;;2,4;0;0,424;;;0,124;3,87;0,8;0,144;1,5;19;47,2;;0;0;0;;58;0,5;385;180;200;455;3,93;0,2;3,02;0,5;5,8;2,5;5;10;;121;0,2;4,5;2,94;0,294;;;;;;;;;;;;;;;;;;;0;;0;0;0;0;1,03;1,03;0;0;1,03;;;;;;;;;;;;;;0;0;0;0;0;0,004;;0,984;0;0,065;0;0;0,074;;0;;0,013;;;2,198;0;;;0,052;;0;0;;0;;2,583;;;0,086;;0;0;;0;0;;0;0;0;;0,083;1,127;2,263;2,669;6,142;0,086;2,583;0;0;567;1021;590;227;386;749;431;476;184;840;908;318;703;1180;2995;771;749;11
Havreklid, dansk;284;0;1543;369;6,25;2,224;13,9;13,9;69;57,5;57,5;;11,5;6,4;0;0;2,2;91,5;8,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;67,2;;519;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hellefisk, gravad;285;20;739;177;6,25;2,214;12,3;12,3;0;0;0;0;0;14,3;0,924;0;0,9;27,5;72,5;19,9;19,9;0;5;5;;1,76;1,76;;;;0;0,045;;;0,03;0,8;0,8;0,066;0,2;;12;4;0,905;0,3;0,3;;;1930;257;8,1;20,9;141;0,071;;;8,8;;1,06;;;;0,49;9,61;248;0,204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;0;0;0,54;0;1,443;;0,252;0;0;0;;;;1,621;;;1,794;0,519;;2,461;;;0,43;2,281;;0,114;;0,141;;;0,045;;0,089;0;0;;0;0;0,322;0,043;0,435;;0,705;2,235;9,22;1,075;13,235;0,934;0,141;0;50;;;;;;;;;;;;;;;;;;14
Hellefisk, røget;286;5;837;200;6,25;2,384;14,3;14,3;0;0;0;0;0;16,1;0,924;0;4,8;35,2;64,8;51;51;0;5;5;;0,85;0,85;;;;0;0,06;;;0,15;2,68;0,96;0,038;0,72;;12;4;0,6;0;0;;;2336;212;;18;210;0,2;;;20;;;27,5;;;0,49;;;;;;;;;;;;;;;0,91;;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;;;0;0;0;0;0;0,79;;1,75;0;0,262;0,01;0;0;;0;;1,748;;;3,209;0;;;2,267;;0;1,467;;0,121;;0,143;;;0;;0,107;0,016;;0;0;;0,364;0,069;0,462;;0,342;2,812;8,812;1,161;13,127;1,002;0,159;0;50;691;1049;1240;453;83;548;429;596;103;787;787;262;763;1311;1764;668;501;
Hellefisk, rå;287;20;739;177;6,25;2,214;12,3;12,3;0;0;0;;0;14,3;0,924;0;0,9;27,5;72,5;19,9;19,9;0;4,25;4,25;0;1,76;1,76;;;;0;0,045;;;0,03;0,8;0,8;0,066;0,2;3,05;12;4;0,905;0,3;0,3;;;79;257;8,1;20,9;141;0,071;0,03;0,28;8,8;0,004;0,631;27,5;;;0,49;3,5;157;0,07;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;0;0;0,503;0;1,343;;0,235;0;0;0;;;;1,509;;;1,67;0,483;;2,291;;;0,4;2,123;;0,106;;0,131;;;0,042;;0,083;0;0;;0;0;0,3;0,04;0,405;;0,656;2,081;8,582;1,001;12,32;0,87;0,131;0;50;;;;;;;;;;;;;;;;;;
Helleflynder, røget;288;10;442;106;6,25;3,296;20,6;20,6;2,6;2,6;2,6;0;0;1,3;0,7;0;1;25,5;74,5;33,1;33;1;9;9;;1,8;1,8;;;;0;0,06;;;0,04;3,33;0,03;0,422;0,275;5;12;4;0,65;0;0;;;64;398;20;23;220;0,5;0,2;0,5;0,1;0,01;1;;4;;;;;;;;;;;;;;;;;;;;0,1;0;;;;;;;;;;;;;;0;;;;;;0;;;;;;;;0;0;0;0;0;0,026;;0,141;0;0,044;0;0;0;;0;;0,036;;;0,108;0;;;0,048;;0;0;;0,006;;0,011;;;0,011;;0,01;0;;0;0;;0,083;0,016;0,292;;0,063;0,211;0,198;0,423;0,895;0,412;0,011;0;60;1055;1615;1945;626;145;791;857;857;198;1187;1220;494;1187;2076;3065;890;692;22
Helleflynder, rå;289;20;442;106;6,25;3,296;20,6;20,6;2,6;2,6;2,6;0;0;1,3;0,7;0;1;25,5;74,5;33,1;33;1;9;9;;0,7;0,7;;;;0;0,04;;;0,045;7,3;4;0,422;0,275;5;12;4;0,96;0;0;;;64;398;15;23;220;0,5;0,2;0,5;0,1;0,01;1;;4;;;;;;;;;;;;;;;;;;;;0,1;0;;;;;;;;;;;;;;0;;;;;;0;;;;;;;;0;0;0;0;0;0,026;;0,141;0;0,044;0;0;0;;0;;0,036;;;0,108;0;;;0,048;;0;0;;0,006;;0,011;;;0,011;;0,01;0;;0;0;;0,083;0,016;0,292;;0,063;0,211;0,198;0,423;0,895;0,412;0,011;0;60;1055;1615;1945;626;145;791;857;857;198;1187;1220;494;1187;2076;3065;890;692;384
Helt, rå;290;51;478;114;6,25;3,472;21,6;21,6;0;0;0;0;0;3;0,95;0;1,4;26;74;8;8;0;3;3;;2,7;2,7;;;;0;0,07;;;0,07;4;4;;;;;;;0;0;;;49;380;60;30;290;0,5;0,026;0,54;20;0,05;2,1;16;5;1;7;4,7;4;0,2;5;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;;0;0;;;;;;0;;;;;;;;;;;;0;0,18;;0,59;;0,14;;;;0,04;;;;;;;;;;;;;;;;0,721;0,09;;;0,14;;;;;;;;;;;;;0,95;0,721;0,23;1,901;0,14;0,09;0;60;;;;;;;;;;;;;;;;;;273
Hestekød, råt;291;25;693;166;6,25;3,04;19;19;0;0;0;0;0;10;0,94;0;1;30;70;24,3;21;40;0,3;0,3;;0,23;0,23;;;;0;0,14;;;0,27;7,75;4,5;0,5;0,6;2,6;8;;3,1;0,6;0,6;;;62;291;10;20;185;3,5;0,144;4,61;1;0,02;2;6;0;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0,6;;;;;;;;;;;;;;;2,67;0,05;0,76;;;;;;;0,48;;;2,67;;;;0,05;;;;;;;1,1;;;0,96;;;;;0,05;;0,19;;;;;;3,48;3,2;2,3;8,98;0,96;1,29;0;75;912;1490;1642;456;137;730;669;730;195;912;1155;730;1186;1733;2584;1034;1672;
Hindbær, dybfrost, rå;292;0;220;53;6,25;0,219;1,4;1,4;11,3;6,6;6,6;0;4,4;1,4;0,8;0;0,5;14,1;85,9;3,5;0;42;0;0;;1,4;1,4;;;;;0,03;;;0,05;0,75;0,5;0,09;0,24;1,9;44;15;0;24;24;;;2;228;19,7;17;38;0,55;0,105;0,34;0,4;1,2;0,8;0,189;0;;17,9;0,025;0,41;1,12;0,8;;;;;;;;;2,5;;;4,82;;;;;;0,003;1,22;;0,75;1,97;;0;0,08;0,08;;;2,05;;;;;;0;;;;;;;;;;;;;;;0,088;;0,015;;;;;;;;;;0,104;;;;;;;;;;;0,472;;;0,401;;;;;;;;;;;;;0,103;0,104;0,873;1,08;0,401;0,472;0;0;;;;;;;;;15;;;;;;;;;0
Hindbær, rå;293;0;220;53;6,25;0,219;1,4;1,4;11;6,6;6,6;0;4,4;1,4;0,8;0;0,5;14,1;85,9;3,5;0;42;0;0;;1,4;1,4;;;;;0,03;;;0,05;0,75;0,5;0,09;0,24;1,9;44;15;0;24;24;;;2;228;19,7;17;38;0,55;0,105;0,34;0,4;1,2;0,8;0,189;0;;17,9;0,025;0,41;1,12;0,8;;;;;;;;;2,5;;;4,82;;;;;;0,003;1,22;;0,75;1,97;;0;0,08;0,08;;;2,05;;;;;;0;0,37;0,83;0,67;2;2,67;;;;;;;;;;0,088;;0,015;;;;;;;;;;0,104;;;;;;;;;;;0,472;;;0,401;;;;;;;;;;;;;0,103;0,104;0,873;1,08;0,401;0,472;0;0;;;;;;;;;15;;;;;;;;;
Hindbærmarmelade;294;0;860;205;6,25;0,096;0,6;0,6;49,3;48,1;48,1;45;1,2;0,6;0,8;0;2,5;53;47;4,17;0;50;0;0;;0,15;0,15;;;;0;0;;;0,035;0,317;0,2;0,03;0,21;1,8;5;5;0;5;5;;;18;44;15;4;13;0,5;0,12;0,027;1,4;0,021;3;0,3;;;10;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;46;;;;;;;;;;;;;;;;;;;;;0,039;;0,007;;;;;;;;;;0,046;;;;;;;;;;;0,21;;;0,178;;;;;;;;;;;;;0,046;0,046;0,388;0,48;0,178;0,21;0;0;;;;;;;;;7;;;;;;;;;
Hindbærsaft, sur, koncentreret;295;0;146;35;6,25;0,08;0,5;0,5;7;7;7;0;0;0,5;0,7;0;0,2;8,2;91,8;;;;;;;;;;;;;;;;;0,4;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,5;;;;;;;;;;;;;;;;;;;;;0,029;;0,005;;;;;;;;;;0,034;;;;;;;;;;;0,153;;;0,13;;;;;;;;;;;;;0,034;0,034;0,283;0,351;0,13;0,153;0;;;;;;;;;;6;;;;;;;;;40
