0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
Navn;FoodId;Svind;Energi, kJ;Energi, kcal;Proteinomregningsfaktor(NCF);total-N;Protein, total;Protein, deklaration;Kulhydrat best. v/diff.;Kulhydrat, tilgængelig;kulhydrat, deklaration;Tilsat sukker;Kostfibre;Fedt, total;Fedtsyrekonverteringsfaktor (FCF);Alkohol;Aske;Tørstof;Vand;A-vitamin;Retinol;ß-caroten;D-vitamin;D3 cholecalciferol;25-hydroxycholecalciferol;E-vitamin;alfa-tokoferol;gamma-tokoferol;delta-tokoferol;alfa-tokotrienol;K1-vitamin;B1-vitamin;thiamin;HET, hydroxyethylthiazole;B2-vitamin, riboflavin;Niacin;niacin2;B6-vitamin;Pantothensyre;Biotin;Folat;Frit folat;B12-vitamin;C-vitamin;L-ascorbinsyre;L-dehydroascorbinsyre;Chlorid, Cl;Natrium, Na;Kalium, K;Calcium, Ca;Magnesium, Mg;Phosphor, P;Jern, Fe;Kobber, Cu;Zink, Zn;Jod, I;Mangan, Mn;Chrom, Cr;Selen, Se;Molybdæn, Mo;Cobolt, Co;Nikkel, Ni;Kviksølv, Hg;Arsen, As;Cadmium, Cd;Bly, Pb;Tin, Sn;L-mælkesyre;D-mælkesyre;Mælkesyre, total;Citronsyre;Oxalsyre;Æblesyre;Eddikesyre;Benzoesyre;Organiske syrer, tot.;Histamin;Tyramin;Phenylethylamin;Putrescin;Cadaverin;Spermin;Spermidin;Serotonin;Fructose;Galaktose;Glucose;Monosaccharider, total;Lactose;Maltose;Saccharose;Disaccharider, total;Raffinose;Andre sukkerarter;Sukkerarter, ialt;Sorbitol;Mannitol;Inositol;Maltitol;Sukkeralkoholer, total;Stivelse;(a)Hexoses;(b)Pentoses;(c)UronicAcids;Cellulose;Lignin;Crude fibre;Neutr.Det.Fibre (NDF);C4:0;C6:0;C8:0;C10:0;C12:0;C14:0;C15:0;C16:0;C17:0;C18:0;C20:0;C22:0;C24:0;Andre mætt.;C14:1,n-5;C15:1;C16:1,n-7;C16:1,trans;C17:1,n-7;C18:1,n-9;C18:1,n-7;C18:1,trans n-9;C20:1,n-9;C20:1,n-11;C20:1,trans;C22:1,n-9;C22:1,n-11;C22:1,trans;C24:1,n-9;Andre monoumætt.;C18:2,n-6;C18:2,conj-A, udifferentieret;C18:2,trans, udifferentieret;C18:3,n-3;C18:3,n-6;C18:4,n-3;C20:2,n-6;C20:4,n-3;C20:3,n-3;C20:3,n-6;C20:4,n-6;C20:5,n-3;C22:5,n-3;C22:6,n-3;Andre polyumættede;Andre fedtsyrer;Sum mættede;Sum monoumættede;Sum polyumættede;Fedtsyrer, total;Sum n-3 fedtsyrer;Sum n-6 fedtsyrer;Transfedtsyrer, total;Cholesterol;Isoleucin;Leucin;Lysin;Methionin;Cystin;Phenylalanin;Tyrosin;Threonin;Tryptofan;Valin;Arginin;Histidin;Alanin;Asparaginsyre;Glutaminsyre;Glycin;Prolin;Serin
Agurk, rå;9;6;50;12;6,25;0,114;0,7;0,7;2,4;1,6;1,6;0;0,7;0,1;0,8;0;0,4;3,6;96,4;5,17;0;62;0;0;;0,15;0,15;;;;16,4;0,017;0,017;0;0,017;0,283;0,2;0,034;0,3;0,4;17,6;14;0;13,7;9,74;4;;10;136;20,7;9,23;25,3;0,22;0,028;0,129;0,3;0,1;1,7;0,3;0;;0,6;0,37;1,7;0,1;0,3;;;;;;;;;0,03;;0,01;;;;;;;0,003;0,71;;0,31;1,02;0;0;0;0;;;1,02;;;;;;0;0,17;0,07;0,27;0,39;0,03;;;;;;;0;0,001;;0,029;0;0,003;0;;;;;;0;;;0,003;;;;0;;;;;;;0,023;;;0,021;;;;;;;;;;;;;0,033;0,003;0,044;0,08;0,021;0,023;0;0;18;27;23;9;2;17;10;16;5;22;27;8;23;40;222;25;13;27
Agurk, syltet;10;0;59;14;6,25;0,053;0,3;0,3;17,3;2,1;2,1;15;1,2;0,2;0,7;0;3,1;7;93;;;;0;0;;0,07;0,07;;;;0;;;;;;;;;;;;0;;;;;;140;15;9,5;19;0,49;0,057;0,18;;0,085;2;;3;;0,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
Agurk, syltet, uden tilsat sukker;11;0;41;10;6,25;0,053;0,3;0,3;2,3;1,1;1,1;0;1,2;0,2;0,7;0;3,1;5,9;94,1;0;0;;0;0;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;208
Ananas, konserves;12;40;269;64;6,25;0,064;0,4;0,4;15,5;14,1;14,1;2,5;1,4;0,3;0,8;0;0,3;16,5;83,5;6,08;0;73;0;0;;0,03;0,03;;;;;0,08;;;0,01;0,233;0,15;0,07;0,1;0;9,5;;0;12;12;;;1;94;9,28;8;10;0,15;0,091;0,082;1,4;1,5;11;0,6;3;;14,7;0,05;2;0,3;22;;;;;;;;;;;;;;;;;;;1,4;;2,3;3,7;;;;;;;3,7;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;9;1;;10;10;;5;;;;;;;;;21
Ananas, rå;13;51;232;55;6,25;0,08;0,5;0,5;13;11,6;11,6;0;1,4;0,4;0,8;0;0,4;14,3;85,7;5;0;60;0;0;;0,1;0,1;;;;;0,08;;;0,02;0,3;0,2;0,09;0,16;0;12,1;9;0;25;25;;;4;174;18,9;14;13,9;0,2;0,09;0,082;1,4;1,5;11;0,6;3;;50;0,05;2;0,3;22;;;;;;;;;;;0,01;;;;;;;1,7;1,4;;2,3;3,7;;;7,5;7,5;;;11,2;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;11;2;;13;13;;6;;;;;;;;;121
Ananasjuice, konserves;14;0;228;55;6,25;0,058;0,4;0,4;12,9;12,8;12,8;;0,1;0,1;0,54;0;0,3;13,6;86,4;1,67;0;20;0;0;;;;;;;;0,058;;;0,021;0,199;0,199;0,1;0,056;;18;;0;10;10;;;2;130;13;12;8;0,31;0,038;0,061;;0,504;1,6;0;;;6,3;0;0,9;0,39;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;0;0;0;0;0;0;;0,003;;0,002;;;;;;;0,001;;;0,008;;;;0;;0;;;;;0,016;;;0,012;;0;;;;;0;0;0;0;;;0,005;0,009;0,028;0,042;0,012;0,016;0;0;;;;;;;;;;;;;;;;;;28
Ananaskirsebær, kapstikkelbær, rå;15;6;171;41;6,25;0,141;0,9;0,9;10,2;5,9;5,9;0;4,3;0,6;0,7;0;0,5;12,1;87,9;60,8;0;730;0;0;;;;;;;;0,04;;;0,03;0,3;0,3;;;;;;0;27,7;27,7;;;;;25;;27;0,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
And, brystkød, rå;16;66;489;117;6,25;3,184;19,4;19,4;0;0;0;0;0;4,3;0,775;0;1,3;25;75;16;16;0;;;;;;;;;;0,42;;;0,31;8,02;3,4;0,63;;;48;;0,76;6;6;;;57;270;3;22;186;4,5;;0,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,023;0,015;;0,94;;0,593;;;;;;;0,169;;;1,015;;;;0;;0;;;;;0,514;;;0,062;;;;;;;0;0;0;0;;;1,571;1,184;0,576;3,331;0,062;0,514;0;77;1019;1688;1688;541;306;828;764;860;277;1051;1274;541;1274;1942;3120;1114;987;
And, kød og skind, rå;17;28;1651;395;6,25;1,838;11,5;11,5;0;0;0;0;0;39,3;0,94;0;0,7;51,5;48,5;51;51;0;1;1;;0;0;;;;0;0,197;;;0,21;6,32;3,93;0,19;0,951;6;48;7;0,25;2,8;2,8;;;86;297;11;22;139;1,2;0,14;1,35;1,2;0,017;;24;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;0;0;0;0;;0;0;;;;;;0;;;;;;0;;0;0;0;0;0,05;0,25;;9,58;;3,2;;;;;;;1,54;;;16,7;;;;0,4;;0;;;;;4,7;;;0,39;;0;;;;;0;0;0;0;;;13,08;18,64;5,09;36,81;0,39;4,7;0;76;533;901;919;294;180;460;386;478;143;570;772;276;772;1103;1709;919;680;
And, kød, rå;18;66;530;127;6,25;2,925;18,3;18,3;1,8;1,8;1,8;0;0;5,1;0,775;0;1,1;26,2;73,8;24;24;0;;;;0;0;;;;0;0,36;;;0,45;9,53;5,3;0,34;1,6;;48;;0,4;5,8;5,8;;;86;297;11;22;203;1,2;0,14;1,35;1,2;0,019;;24;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;0;0;0;0;;0;0;;;;;;0;;;;;;0;;0;0;0;0;0;0,029;;0,915;0;0,31;0,009;0;0;;0;;0,135;;;2,219;0;;;0,029;;0;0;;0;;0,707;;;0,124;;0;0,008;;0,123;0,03;;0,005;0,019;0,022;;0;1,263;2,383;1,038;4,684;0,17;0,715;0;77;936;1550;1550;497;281;761;702;790;254;965;1170;497;1170;1784;2867;1024;907;1179
